Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Usage_Level,Addiction_Level
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,High,High
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,Medium,Moderate
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,Medium,High
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,Medium,Moderate
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,Medium,Moderate
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,High,High
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,Medium,High
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,High,High
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,Medium,Moderate
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,Medium,High
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,High,High
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,Medium,Moderate
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,Medium,High
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,Medium,Moderate
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,High,High
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,Medium,Moderate
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,Medium,High
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,High,High
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,Medium,Moderate
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,Medium,High
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,High,High
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,High,High
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,Medium,Moderate
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,Medium,High
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,High,High
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,Medium,Moderate
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,Medium,High
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,Medium,Moderate
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,High,High
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,Medium,Moderate
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,Medium,High
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,High,High
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,High,High
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,Medium,Moderate
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,High,High
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,High,High
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,Medium,Moderate
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,High,High
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,High,High
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,Medium,Moderate
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,High,High
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,High,High
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,Medium,Moderate
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,High,High
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,High,High
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,Medium,Moderate
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,High,High
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,High,High
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,Medium,Moderate
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,High,High
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,High,High
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,Medium,Moderate
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,Medium,High
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,High,High
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,Medium,Moderate
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,Medium,High
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,High,High
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,Medium,Moderate
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,Medium,High
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,High,High
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,Medium,Moderate
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,Medium,High
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,High,High
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,Medium,Moderate
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,Medium,High
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,High,High
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,Medium,Moderate
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,Medium,High
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,Medium,High
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,Medium,Moderate
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,Medium,High
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7,Medium,High
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,Medium,Moderate
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,Medium,High
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,Medium,High
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5,Medium,Moderate
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,Medium,High
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,Medium,High
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,Medium,Moderate
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8,Medium,High
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,Medium,High
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,High,High
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,Medium,Moderate
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8,High,High
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,Medium,High
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5,High,Moderate
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8,High,High
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,Medium,High
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,High,Moderate
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8,High,High
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,Medium,High
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5,Medium,Moderate
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8,High,High
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7,Medium,High
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6,High,Moderate
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8,High,High
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7,Medium,High
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5,Medium,Moderate
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8,High,High
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7,Medium,High
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6,Medium,Moderate
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8,High,High
182,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7,Medium,High
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5,Medium,Moderate
184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8,High,High
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7,Medium,High
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6,Medium,Moderate
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8,High,High
188,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7,Medium,High
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5,Medium,Moderate
190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8,Medium,High
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7,Medium,High
192,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,6,Medium,Moderate
193,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,8,High,High
194,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7,Medium,High
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5,Medium,Moderate
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8,Medium,High
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7,Medium,High
198,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6,Medium,Moderate
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8,High,High
200,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7,Medium,High
201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5,Medium,Moderate
202,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8,Medium,High
203,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,7,Medium,High
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6,Medium,Moderate
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8,High,High
206,21,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3,7,Medium,High
207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5,Medium,Moderate
208,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8,Medium,High
209,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,7,Medium,High
210,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,6,Medium,Moderate
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8,High,High
212,22,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3,7,Medium,High
213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5,Medium,Moderate
214,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8,Medium,High
215,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8.0,5,Single,3,7,Medium,High
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6,Medium,Moderate
217,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4,8,High,High
218,21,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3,7,Medium,High
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5,Medium,Moderate
220,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8,Medium,High
221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4,9,High,High
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7,High,High
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5,Medium,Moderate
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4,Medium,Moderate
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3,Medium,Low
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7,High,High
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6,High,Moderate
228,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5,Medium,Moderate
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9,High,High
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7,High,High
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5,Medium,Moderate
232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1,4,Medium,Moderate
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8,Single,1,3,Medium,Low
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8,High,High
235,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6,Single,3,6,Medium,Moderate
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5,Medium,Moderate
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9,High,High
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7,High,High
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5,Medium,Moderate
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4,Medium,Moderate
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1,3,Medium,Low
242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,High,High
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3,6,High,Moderate
244,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2,5,Medium,Moderate
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9,High,High
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7,High,High
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5,Medium,Moderate
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4,Medium,Moderate
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1,3,Medium,Low
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8,High,High
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3,6,Medium,Moderate
252,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2,5,Medium,Moderate
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9,High,High
254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7,High,High
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5,Medium,Moderate
256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2,4,Medium,Moderate
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3,Medium,Low
258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7,High,High
259,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.7,6,In Relationship,3,6,Medium,Moderate
260,22,Male,Graduate,Russia,4.4,VKontakte,No,7.6,7,Single,2,5,Medium,Moderate
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9,High,High
262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7,High,High
263,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2,5,Medium,Moderate
264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4,Medium,Moderate
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3,Medium,Low
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8,High,High
267,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7.0,6,Single,3,6,Medium,Moderate
